"Title","Titulo"
"Status","Estado"
"Enable","Habilitado"
"Disable","Deshabilitado"
"Mode","Modo"
"Malformed JSON data","Error en el armado del JSON"
"Invalid API key","API key inválida"
"Data provided is invalid","Error por datos inválidos"
"Data provided was not found","Error con datos no encontrados"
"Unexpected API error","Error inesperado en la API"
"Credit Card (Decidir)","Tarjeta de Credito (Decidir)"
"Available Credit Cards","Tarjetas Habilitadas"
"New Order Status","Estado del Pedido"
"The status in which the Order will be left, after the payment is processed","Estado que se asignara al Pedido luego de procesar el pago"
"Sandbox","Sandbox"
"Production","Produccion"
"Sandbox Site Id","Sandbox Id de Sitio"
"Sandbox Public Key","Sandbox Key Publica"
"Sandbox Private Key","Sandbox Key Privada"
"Production Site Id","Produccion Id de Sitio"
"Production Public Key","Produccion Key Publica"
"Production Private Key","Produccion Key Privada"
"Sort Order","Posicion"
"-- Please Select --","-- Seleccione una opcion --"
"Error while executing a refund operation","Error durante la ejecucion de la devolucion"
"Installments","Cuota(s)"
"Select Installments","Seleccione Cuota(s)"
"Gateway error. Try again later","Error procesando el pago. Intente nuevamente más tarde"
